"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"7457","suPURDUEper Robotics","111","55.5","1720","1773","14.1","34.3","7.1","0.62","0.43","N/A","N/A","N/A","46-15-1","0.750"
"1768","Nashoba Robotics","112","55.5","1720","1773","14.6","32.8","8.1","0.64","0.44","2023cc","Chezy Champs","9","55-20-5","0.719"
"3039","Wildcat Robotics","113","55.4","1718","1772","16.5","30.8","8.1","0.61","0.42","2023rsr","The Dow Red Stick Rumble","9","50-16-1","0.754"
"230","Gaelhawks","114","55.3","1718","1771","15.7","32","7.7","0.68","0.35","N/A","N/A","N/A","59-16-2","0.779"
"1868","Space Cookies","115","55.3","1718","1771","17.5","28.2","9.6","0.25","0.47","2023cc","Chezy Champs","9","35-26-0","0.574"
"359","Hawaiian Kids","116","55.3","1718","1771","15.1","30.9","9.2","0.6","0.55","2023cc","Chezy Champs","9","60-20-0","0.750"
"7541","Maple River Robotics","117","55.2","1717","1771","12.6","33.5","9.2","0.26","0.26","N/A","N/A","N/A","10-4-0","0.714"
"302","The Dragons","118","55.2","1717","1770","12.4","31","11.8","0.35","0.56","N/A","N/A","N/A","48-12-2","0.790"
"6045","Sabre Robotics","119","55.1","1716","1770","9.9","36.9","8.4","0.34","0.24","N/A","N/A","N/A","30-10-0","0.750"
"1771","North Gwinnett Robotics","120","55.1","1716","1769","19.8","28","7.4","0.57","0.39","N/A","N/A","N/A","46-15-0","0.754"
"7407","Wired Boars","121","55","1715","1769","17.8","29.9","7.4","0.75","0.24","N/A","N/A","N/A","42-25-3","0.621"
"1102","M'Aiken Magic","122","55","1715","1769","14.6","34","6.5","0.41","0.23","N/A","N/A","N/A","45-21-0","0.682"
"2987","Rogue Robotics","123","55","1715","1769","13.9","32.3","8.8","0.44","0.46","N/A","N/A","N/A","18-14-0","0.563"
"3641","The Flying Toasters","124","55","1715","1769","12.2","33.5","9.4","0.51","0.35","N/A","N/A","N/A","41-21-0","0.661"
"2052","KnightKrawler","125","55","1714","1768","14.6","32.1","8.3","0.32","0.37","N/A","N/A","N/A","30-9-0","0.769"
"2992","The S.S. Prometheus","126","54.9","1714","1768","14.7","31.6","8.6","0.48","0.54","2023rsr","The Dow Red Stick Rumble","9","45-18-1","0.711"
"6800","Valor","127","54.9","1714","1768","12","34.2","8.7","0.42","0.48","N/A","N/A","N/A","42-21-1","0.664"
"1730","Team Driven","128","54.9","1713","1768","10.5","34","10.4","0.51","0.49","N/A","N/A","N/A","33-14-0","0.702"
"59","RamTech","129","54.8","1713","1767","12.3","33.6","8.9","0.51","0.18","N/A","N/A","N/A","30-27-1","0.526"
"33","Killer Bees","130","54.8","1713","1767","15.2","31.2","8.4","0.56","0.45","N/A","N/A","N/A","45-18-0","0.714"
"1318","Issaquah Robotics Society","131","54.7","1712","1766","16","31.8","7","0.55","0.55","N/A","N/A","N/A","44-30-0","0.595"
